33, 31.19
628, 31.25
1223, 31.19
1818, 31.25
2413, 31.25
3008, 31.19
3603, 31.25
4198, 31.25
4793, 31.25
5388, 31.19
5983, 31.25
6578, 31.25
7173, 31.19
7768, 31.19
8363, 31.19
8957, 31.19
9552, 31.19
10147, 31.19
10742, 31.25
11337, 31.19
11932, 31.19
12527, 31.19
13122, 31.19
13717, 31.19
14312, 31.19
14907, 31.19
15502, 31.19
16098, 31.19
16693, 31.25
17288, 31.19
17883, 31.19
18478, 31.12
19073, 31.12
19667, 31.19
20262, 31.12
20857, 31.19
21452, 31.12
22047, 31.19
22642, 31.19
23237, 31.19
23833, 31.12
24428, 31.12
25023, 31.12
25618, 31.12
26213, 31.12
26808, 31.12
27403, 31.12
27998, 31.12
28593, 31.12
29188, 31.19
29783, 31.12
30377, 31.19
30973, 31.12
31568, 31.12
32163, 31.12
32758, 31.12
33353, 31.12
33948, 31.12
34543, 31.19
35138, 31.19
35733, 31.12
